"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in p.value_classic"	"p.value_elim"	"p.value_classic"	"genes"
"69"	"GO:0050766"	"positive regulation of phagocytosis"	58	10	3.22	460	0.00116	0.00121	"APPL2,C2,C3,C4A,C4B,CD300LF,IL15,IL15RA,SLC11A1,STAP1"
"70"	"GO:0008283"	"cell proliferation"	1539	136	85.44	112	0.00117	1.3e-08	"ABCB1,ADORA3,AGT,APPL2,ASCL2,ATF3,ATF5,AURKB,B2M,BCL6,BHLHE41,BIRC5,BRCA1,BTN2A2,BTN3A1,CCL5,CCL8,CCNA2,CD274,CD28,CD38,CD40,CD74,CD80,CDC25A,CDC6,CDCA7,CDH5,CDK1,CDKN2C,CEACAM1,CHRD,COMP,CTLA4,CX3CR1,CXCL10,CXCL11,CXCL5,CXCL9,CYP1A1,DLL1,DYSF,E2F1,E2F8,EDN1,FGL1,FLT3LG,GHRL,GLUL,GNG2,GPR183,HBEGF,HELLS,HGF,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-E,HLA-G,IDO1,IFIT3,IFITM1,IFT122,IL12A,IL12RB1,IL12RB2,IL15,IL27,IL31RA,IQGAP3,IRF1,JAK2,JAK3,KARS1,KITLG,KLF4,LBH,LRP5,LRRK2,LYN,MARCKSL1,MCM10,MCM7,MIR503,MKI67,MMP9,MTSS1,NCAPG2,NOD2,NPR1,NRK,NRP1,OCA2,OSM,OVOL1,P2RX7,PARP10,PDCD1LG2,PID1,PIM1,PLAAT4,PLCD3,PML,PRC1,PSMB10,RAPGEF2,RASGRF1,RIPK2,S100A13,S1PR1,SAT1,SCIN,SHCBP1,SIDT2,SLAMF1,SLC11A1,SOX17,SSBP3,SSTR2,STAT1,STAT2,TACC2,TAL1,TESC,TGM2,TMEM119,TNFRSF11A,TNFRSF21,TNFSF13B,TNFSF18,TNFSF8,TSPAN32,UHRF1,VCAM1,VEGFC,WARS1"
"71"	"GO:0045581"	"negative regulation of T cell differentiation"	37	10	2.05	263	0.00122	2.3e-05	"BCL6,CD74,CTLA4,FGL2,IRF1,JAK3,LAG3,SOCS1,TBX21,ZC3H12A"
"72"	"GO:0001783"	"B cell apoptotic process"	23	6	1.28	464	0.00125	0.00128	"AURKB,BCL2L11,BCL6,CD74,LYN,TNFRSF21"
"73"	"GO:0032692"	"negative regulation of interleukin-1 production"	26	9	1.44	236	0.0013	6.3e-06	"CARD16,CARD17,CEACAM1,CX3CR1,GHRL,MEFV,NLRP12,PML,ZC3H12A"
"74"	"GO:0010529"	"negative regulation of transposition"	16	5	0.89	469	0.00133	0.00136	"APOBEC3A,APOBEC3D,APOBEC3G,PIWIL4,TDRD9"
"75"	"GO:0033209"	"tumor necrosis factor-mediated signaling pathway"	149	18	8.27	483	0.00143	0.00152	"AIM2,CARD16,CASP4,CD40,CYLD,EDA,JAK2,KARS1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,STAT1,TNFRSF11A,TNFSF13B,TNFSF18,TNFSF8"
"76"	"GO:0045089"	"positive regulation of innate immune response"	315	47	17.49	75	0.00144	4.6e-10	"ACOD1,ADAM8,AIM2,APPL2,CCL5,CD300LF,CLEC10A,CLEC6A,COLEC12,CTSS,CYLD,DDX60,FCN1,GBP5,GRAMD4,HLA-E,HLA-F,HLA-G,ICAM2,IFIH1,IL12A,IRF1,IRF7,KLRK1,LAG3,LILRA2,LYN,MUC1,NLRC5,NOD2,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PYHIN1,RELB,RIPK2,RSAD2,SLAMF6,TICAM2,TIFA,TLR10,TLR5,TLR7,TLR8,ZBP1"
"77"	"GO:0050713"	"negative regulation of interleukin-1 beta secretion"	10	4	0.56	479	0.00148	0.00151	"CARD16,CARD17,PML,ZC3H12A"
"78"	"GO:0045351"	"type I interferon biosynthetic process"	10	4	0.56	480	0.00148	0.00151	"IRF7,NMI,TLR7,TLR8"
"79"	"GO:0002604"	"regulation of dendritic cell antigen processing and presentation"	10	4	0.56	481	0.00148	0.00151	"CD74,FGL2,NOD2,SLC11A1"
"80"	"GO:0045625"	"regulation of T-helper 1 cell differentiation"	10	4	0.56	482	0.00148	0.00151	"CD80,IL27,JAK3,RIPK2"
"81"	"GO:0045124"	"regulation of bone resorption"	32	7	1.78	486	0.00152	0.00157	"ADAM8,CD38,P2RX7,PDK4,S1PR1,TMEM119,TNFRSF11A"
"82"	"GO:0000082"	"G1/S transition of mitotic cell cycle"	231	31	12.82	221	0.00167	4.4e-06	"BACH1,BTN2A2,CCNE2,CDC25A,CDC45,CDC6,CDK1,CDKN2C,CDT1,CYP1A1,DHFR,E2F1,E2F8,FAM107A,GTSE1,IQGAP3,KLF4,MCM10,MCM2,MCM4,MCM5,MCM6,MCM7,MUC1,ORC1,PML,POLE2,PSME1,PSME2,RRM2,TYMS"
"83"	"GO:0032675"	"regulation of interleukin-6 production"	116	15	6.44	505	0.00177	0.00187	"BANK1,CD74,GHRL,HGF,IFIH1,IL1RN,LILRA2,NLRP12,NOD2,P2RX7,RIPK2,SLAMF1,TLR7,TLR8,ZC3H12A"
"84"	"GO:0034143"	"regulation of toll-like receptor 4 signaling pathway"	17	5	0.94	502	0.00179	0.00184	"ACOD1,APPL2,LILRA2,LYN,TICAM2"
"85"	"GO:0048245"	"eosinophil chemotaxis"	17	5	0.94	503	0.00179	0.00184	"CCL13,CCL15,CCL5,CCL7,CCL8"
"86"	"GO:0032496"	"response to lipopolysaccharide"	267	40	14.82	108	0.00185	8.4e-09	"ACOD1,CARD16,CARD17,CCL5,CD274,CD80,CMPK2,CSF2RB,CX3CR1,CXCL10,CXCL11,CXCL5,CXCL9,CYP1A1,EDN1,GCH1,ICAM1,IDO1,IL12A,IL12RB2,IL1RN,JAK2,KLRK1,LILRA2,LITAF,LYN,NOD2,P2RX7,PDCD1LG2,PDE4B,PTGER4,RIPK2,SBNO2,SLC11A1,STAP1,THBD,TICAM2,TNFRSF11A,VCAM1,ZC3H12A"
"87"	"GO:0002755"	"MyD88-dependent toll-like receptor signaling pathway"	34	7	1.89	521	0.00221	0.00228	"CD300LF,IRF1,IRF7,TLR10,TLR5,TLR7,TLR8"
"88"	"GO:0045429"	"positive regulation of nitric oxide biosynthetic process"	34	7	1.89	522	0.00221	0.00228	"AGT,EDN1,ICAM1,JAK2,KLF4,KLRK1,P2RX4"
"89"	"GO:0070757"	"interleukin-35-mediated signaling pathway"	11	4	0.61	514	0.00223	0.00227	"IL12A,IL12RB2,JAK2,STAT1"
"90"	"GO:0032310"	"prostaglandin secretion"	11	4	0.61	515	0.00223	0.00227	"EDN1,P2RX4,P2RX7,TNFRSF11A"
"91"	"GO:0032305"	"positive regulation of icosanoid secretion"	11	4	0.61	516	0.00223	0.00227	"EDN1,P2RX4,P2RX7,TNFRSF11A"
"92"	"GO:0014821"	"phasic smooth muscle contraction"	11	4	0.61	517	0.00223	0.00227	"EDN1,GHRL,SSTR2,TIFAB"
"93"	"GO:0045414"	"regulation of interleukin-8 biosynthetic process"	11	4	0.61	518	0.00223	0.00227	"CD74,KLF4,TLR7,TLR8"
"94"	"GO:0045591"	"positive regulation of regulatory T cell differentiation"	11	4	0.61	519	0.00223	0.00227	"BCL6,BTN2A2,HLA-G,SOCS1"
"95"	"GO:0035458"	"cellular response to interferon-beta"	18	5	1	527	0.00237	0.00243	"ACOD1,AIM2,IRF1,PYHIN1,STAT1"
"96"	"GO:0046135"	"pyrimidine nucleoside catabolic process"	18	5	1	528	0.00237	0.00243	"APOBEC3A,APOBEC3D,APOBEC3G,DPYS,TYMP"
"97"	"GO:0070229"	"negative regulation of lymphocyte apoptotic process"	26	6	1.44	531	0.00247	0.00254	"AURKB,BCL6,CCL5,CD74,IDO1,JAK3"
"98"	"GO:0019932"	"second-messenger-mediated signaling"	301	29	16.71	536	0.0025	0.00271	"ADGRE5,ADGRG5,AGT,ANK2,CAMK2D,CCRL2,CX3CR1,CXCL10,CXCL11,CXCL9,CXCR3,EDN1,GBP1,GNG2,LRRK2,MCTP2,MT2A,MYOZ2,NPR1,P2RX4,P2RX7,PDE3B,PLEK,PTGER4,RAPGEF2,RXFP1,SRI,TRDN,VCAM1"
"99"	"GO:0045824"	"negative regulation of innate immune response"	47	11	2.61	287	0.00256	4e-05	"ACOD1,CEACAM1,HLA-E,HLA-F,HLA-G,NLRC5,NMI,PARP14,SERPING1,SLAMF8,TRAFD1"
"100"	"GO:0002824"	"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	89	22	4.94	91	0.00282	2e-09	"B2M,C3,CD1A,CD1C,CD274,CD28,CD40,CD80,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,IL12A,IL12RB1,P2RX7,RIPK2,RSAD2,SLC11A1,TBX21,TNFSF13B"
"101"	"GO:1901991"	"negative regulation of mitotic cell cycle phase transition"	213	26	11.83	335	0.00287	0.00013	"AURKB,BRCA1,BTN2A2,BUB1B,CDC6,CDK1,CDKN2C,CDT1,CHMP4C,CLSPN,E2F1,E2F8,FAM107A,GTSE1,KLF4,MAD2L1,MUC1,NDC80,ORC1,PML,PSMB10,PSMB8,PSMB9,PSME1,PSME2,TICRR"
"102"	"GO:0007204"	"positive regulation of cytosolic calcium ion concentration"	217	26	12.05	345	0.00288	0.00018	"AGT,ANK2,CAMK2D,CCRL2,CD38,CX3CR1,CXCL10,CXCL11,CXCL9,CXCR3,CYSLTR1,EDN1,F2RL3,GHRL,JAK2,LYN,MCOLN2,P2RX4,P2RX7,PML,PTGER4,S1PR1,SRI,TGM2,TPCN1,TRDN"
"103"	"GO:0071398"	"cellular response to fatty acid"	45	8	2.5	546	0.00291	0.00301	"DGAT2,E2F1,EDN1,GNG2,PDK4,PID1,PTGER4,ZC3H12A"
"104"	"GO:0042130"	"negative regulation of T cell proliferation"	45	8	2.5	547	0.00291	0.00301	"BTN2A2,CD274,CD80,CTLA4,HLA-G,IDO1,PDCD1LG2,TNFRSF21"
"105"	"GO:0010818"	"T cell chemotaxis"	19	5	1.05	551	0.00308	0.00315	"CCL5,CXCL10,CXCL11,CXCR3,GPR183"
"106"	"GO:0032816"	"positive regulation of natural killer cell activation"	19	5	1.05	552	0.00308	0.00315	"FLT3LG,HLA-E,HLA-F,IL12A,IL15"
"107"	"GO:0045953"	"negative regulation of natural killer cell mediated cytotoxicity"	12	4	0.67	556	0.00319	0.00326	"CEACAM1,HLA-E,HLA-F,HLA-G"
"108"	"GO:0051770"	"positive regulation of nitric-oxide synthase biosynthetic process"	12	4	0.67	557	0.00319	0.00326	"JAK2,LRRK2,NOD2,STAT1"
"109"	"GO:0042976"	"activation of Janus kinase activity"	12	4	0.67	558	0.00319	0.00326	"AGT,CCL5,JAK2,SOCS1"
"110"	"GO:0050710"	"negative regulation of cytokine secretion"	56	12	3.11	294	0.00325	4.6e-05	"BANK1,BTN2A2,CARD16,CARD17,GBP1,GHRL,NLRP12,PML,PTGER4,TLR8,TNFRSF21,ZC3H12A"
"111"	"GO:0046632"	"alpha-beta T cell differentiation"	85	17	4.72	215	0.00332	3.4e-06	"BCL6,CD80,GPR183,IL12RB1,IL27,IRF1,ITK,JAK3,PTGER4,RELB,RIPK2,RSAD2,SLAMF6,SOCS1,TBX21,TNFSF8,ZC3H12A"
"112"	"GO:0044818"	"mitotic G2/M transition checkpoint"	28	6	1.55	567	0.00367	0.00378	"BRCA1,CDC6,CDK1,CLSPN,ORC1,TICRR"
"113"	"GO:0046633"	"alpha-beta T cell proliferation"	28	6	1.55	568	0.00367	0.00378	"CD274,CD28,HLA-E,IL15,IRF1,RIPK2"
"114"	"GO:1901623"	"regulation of lymphocyte chemotaxis"	20	5	1.11	574	0.00392	0.00401	"CCL5,CCL7,CXCL10,KLRK1,PADI2"
"115"	"GO:0086064"	"cell communication by electrical coupling involved in cardiac conduction"	20	5	1.11	575	0.00392	0.00401	"ATP1B2,CAMK2D,GJD3,SRI,TRDN"
"116"	"GO:0060334"	"regulation of interferon-gamma-mediated signaling pathway"	20	5	1.11	576	0.00392	0.00401	"JAK2,NLRC5,PARP14,SOCS1,STAT1"
"117"	"GO:0042129"	"regulation of T cell proliferation"	128	25	7.11	119	0.00409	2.9e-08	"BTN2A2,CCL5,CD274,CD28,CD80,CTLA4,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-E,HLA-G,IDO1,IL12A,IL12RB1,IL15,IL27,IRF1,JAK3,PDCD1LG2,RIPK2,TNFRSF21,TNFSF13B,TNFSF18,TNFSF8,VCAM1"
"118"	"GO:0045058"	"T cell selection"	38	7	2.11	584	0.00428	0.00441	"CD28,CD74,CYLD,IL12RB1,IL15,SLAMF6,TBX21"
"119"	"GO:0033033"	"negative regulation of myeloid cell apoptotic process"	13	4	0.72	588	0.00441	0.0045	"CCL5,IRF7,KITLG,NOD2"
"120"	"GO:0006071"	"glycerol metabolic process"	13	4	0.72	589	0.00441	0.0045	"DGAT2,DYSF,GK,MYOF"
"121"	"GO:0055119"	"relaxation of cardiac muscle"	13	4	0.72	590	0.00441	0.0045	"CAMK2D,KCNJ2,P2RX4,PDE4B"
"122"	"GO:0002643"	"regulation of tolerance induction"	13	4	0.72	591	0.00441	0.0045	"CD274,HLA-G,IDO1,PDCD1"
"123"	"GO:0007567"	"parturition"	13	4	0.72	592	0.00441	0.0045	"CYP1A1,EDN1,MAFF,NRK"
"124"	"GO:0071353"	"cellular response to interleukin-4"	29	6	1.61	597	0.00442	0.00454	"CD300LF,JAK3,MCM2,PARP14,PML,RUFY4"
"125"	"GO:0032728"	"positive regulation of interferon-beta production"	29	6	1.61	598	0.00442	0.00454	"IFIH1,IRF1,IRF7,RIPK2,TLR7,TLR8"
"126"	"GO:0061844"	"antimicrobial humoral immune response mediated by antimicrobial peptide"	29	6	1.61	599	0.00442	0.00454	"CCL13,CXCL10,CXCL11,CXCL5,CXCL9,H2BC21"
"127"	"GO:1902105"	"regulation of leukocyte differentiation"	227	34	12.6	138	0.00442	1.1e-07	"ADAM8,BCL6,BTN2A2,CD101,CD28,CD74,CD80,CEACAM1,CTLA4,CYLD,FGL2,FLT3LG,HLA-DOA,HLA-G,IL12A,IL12RB1,IL15,IL27,IRF1,IRF7,JAK3,KITLG,LAG3,LILRB3,LYN,RIPK2,SLAMF8,SOCS1,TAL1,TBX21,TESC,TMEM176A,TMEM176B,ZC3H12A"
"128"	"GO:0019724"	"B cell mediated immunity"	90	22	5	95	0.00454	2.6e-09	"BCL6,C1QB,C1R,C1RL,C1S,C2,C3,C4A,C4B,CD28,CD40,CD74,EXO1,FGL2,GCNT3,HLA-DQB1,HLA-E,HLA-G,IRF7,SERPING1,TBX21,TLR8"
"129"	"GO:0050714"	"positive regulation of protein secretion"	207	27	11.49	274	0.00455	3e-05	"ADAM8,AIM2,ATP13A2,CD274,CD38,CLEC6A,CLEC9A,FCN1,GHRL,GLUL,GSDMD,HCAR2,HLA-E,IFIH1,JAK2,KARS1,LILRA2,LRRK2,NLRP12,NOD2,OSM,P2RX7,PTGER4,RIPK2,SRI,TLR8,VEGFC"
"130"	"GO:0002223"	"stimulatory C-type lectin receptor signaling pathway"	92	12	5.11	602	0.00458	0.00478	"CLEC10A,CLEC6A,ICAM2,KLRK1,LYN,MUC1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,RELB"
"131"	"GO:0071496"	"cellular response to external stimulus"	300	28	16.66	607	0.00458	0.00494	"AGT,ATF3,CASTOR1,CD40,FAM107A,FAS,GLUL,GSDMD,ICAM1,IL15,IRF1,KCNJ2,KIF26A,LRRK2,LYN,P2RX4,P2RX7,PDK4,PIM1,PMAIP1,PTGER4,RALB,SESN3,TLR5,TLR7,TLR8,VCAM1,ZC3H12A"
"132"	"GO:0019883"	"antigen processing and presentation of endogenous antigen"	21	14	1.17	42	0.00476	1.9e-13	"B2M,CD1A,CD1C,CD74,ERAP2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,TAP1,TAP2,TAPBP"
"133"	"GO:0002027"	"regulation of heart rate"	70	10	3.89	609	0.00486	0.00505	"AGT,ANK2,CAMK2D,EDN1,EPAS1,GCH1,KCNJ2,SCN4B,SPTBN4,SRI"
"134"	"GO:0001819"	"positive regulation of cytokine production"	386	55	21.43	65	0.00496	8.9e-11	"ADAM8,AGT,AIM2,B2M,BRCA1,C3,CD274,CD28,CD40,CD74,CD80,CLEC6A,CLEC9A,DDX60,FCN1,GBP5,GSDMD,HGF,HLA-DPA1,HLA-DPB1,HLA-E,HLA-F,HLA-G,IDO1,IFIH1,IL12A,IL12RB1,IL12RB2,IL15,IL1RN,IL27,IRF1,IRF7,JAK2,KARS1,KLRK1,LILRA2,LRRK2,MCOLN2,NLRP12,NOD2,OSM,P2RX7,PDE4B,PTGER4,PYHIN1,RIPK2,RSAD2,SLAMF6,SLC11A1,STAT1,TLR5,TLR7,TLR8,ZBP1"
"135"	"GO:0035710"	"CD4-positive, alpha-beta T cell activation"	78	16	4.33	225	0.00505	4.7e-06	"BCL6,CD274,CD80,GPR183,IL12A,IL12RB1,IL27,JAK3,PTGER4,RELB,RIPK2,RSAD2,SLAMF6,SOCS1,TBX21,ZC3H12A"
"136"	"GO:0048660"	"regulation of smooth muscle cell proliferation"	118	14	6.55	616	0.00546	0.00573	"AGT,CCL5,EDN1,HBEGF,IL12A,IL15,JAK2,KLF4,MIR503,MMP9,NPR1,S1PR1,STAT1,TGM2"
"137"	"GO:0051783"	"regulation of nuclear division"	169	18	9.38	624	0.00566	0.00599	"ANLN,AURKB,BUB1B,CD28,CDC6,CDCA5,CDT1,CHMP4C,DAZL,EDN1,HORMAD1,KIF11,LRP5,MAD2L1,MKI67,NDC80,NUSAP1,PKMYT1"
"138"	"GO:0002381"	"immunoglobulin production involved in immunoglobulin mediated immune response"	50	8	2.78	619	0.00568	0.00587	"BCL6,CD28,CD40,EXO1,FGL2,GCNT3,HLA-DQB1,TBX21"
"139"	"GO:0002720"	"positive regulation of cytokine production involved in immune response"	50	8	2.78	620	0.00568	0.00587	"B2M,CD74,HLA-E,HLA-F,HLA-G,KARS1,NOD2,RSAD2"
"140"	"GO:1903779"	"regulation of cardiac conduction"	50	8	2.78	621	0.00568	0.00587	"AGT,ANK2,ATP1B2,CAMK2D,CXADR,NPR1,SRI,TRDN"
"141"	"GO:2000108"	"positive regulation of leukocyte apoptotic process"	25	9	1.39	220	0.00578	4.4e-06	"ADAM8,CCL5,CD274,HCAR2,IDO1,LYN,P2RX7,PDCD1,RAPGEF2"
"142"	"GO:2001185"	"regulation of CD8-positive, alpha-beta T cell activation"	14	4	0.78	625	0.00591	0.00603	"CD274,HLA-E,IRF1,SOCS1"
"143"	"GO:0019835"	"cytolysis"	14	4	0.78	626	0.00591	0.00603	"APOL1,GSDMD,MMD,P2RX7"
"144"	"GO:0002710"	"negative regulation of T cell mediated immunity"	14	4	0.78	627	0.00591	0.00603	"CEACAM1,HLA-F,HLA-G,TBX21"
"145"	"GO:0032740"	"positive regulation of interleukin-17 production"	14	4	0.78	628	0.00591	0.00603	"IL15,NOD2,OSM,SLAMF6"
"146"	"GO:0048532"	"anatomical structure arrangement"	14	4	0.78	629	0.00591	0.00603	"DAB1,DLL1,EGR2,NRP1"
"147"	"GO:0045623"	"negative regulation of T-helper cell differentiation"	14	4	0.78	630	0.00591	0.00603	"BCL6,JAK3,TBX21,ZC3H12A"
"148"	"GO:0048678"	"response to axon injury"	61	9	3.39	635	0.00596	0.00618	"CDK1,DHFR,JAK2,KLF4,KREMEN1,LYN,P2RX4,RTN4RL1,SCARF1"
"149"	"GO:0002675"	"positive regulation of acute inflammatory response"	22	5	1.22	637	0.00607	0.00622	"ADAM8,C3,HLA-E,OSM,TNFRSF11A"
"150"	"GO:0050707"	"regulation of cytokine secretion"	162	30	8.99	102	0.00624	4.6e-09	"AIM2,BANK1,BTN2A2,CARD16,CARD17,CD274,CLEC6A,CLEC9A,FCN1,GBP1,GHRL,GSDMD,IFIH1,KARS1,LILRA2,LRRK2,LYN,NLRP12,NOD2,OSM,P2RX7,PML,PTGER4,RIPK2,SOCS1,TLR10,TLR5,TLR8,TNFRSF21,ZC3H12A"
"151"	"GO:0050728"	"negative regulation of inflammatory response"	108	13	6	644	0.00645	0.00675	"ACOD1,APPL2,CDH5,GHRL,HGF,IL22RA2,KLF4,MEFV,NLRP12,PTGER4,SLAMF8,TNFAIP6,ZC3H12A"
"152"	"GO:0002831"	"regulation of response to biotic stimulus"	122	19	6.77	288	0.00659	4.1e-05	"ACOD1,AIM2,APOBEC3G,CARD16,CD274,CEACAM1,DDX60,DTX3L,FGL2,IL12A,IL12RB1,IL15,IL27,LILRA2,OPTN,RIPK2,STAT1,TSPAN32,ZC3H12A"
"153"	"GO:0007155"	"cell adhesion"	1115	100	61.9	181	0.00661	7.8e-07	"ADAM8,ADGRE5,AGR2,ANTXR1,AOC3,ATP1B2,BCL2L11,BCL6,BTN2A2,CCL5,CD274,CD28,CD74,CD80,CD93,CDH5,CEACAM1,CELSR1,CHRD,COMP,CTLA4,CX3CR1,CXADR,CXCR3,CYLD,DAB1,DLL1,DYSF,EDA,EPHB3,FAM107A,FGL1,FGL2,GBP1,GLDN,HAPLN3,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-E,HLA-G,ICAM1,ICAM2,IDO1,IL12A,IL12RB1,IL15,IL1RN,IL32,IRF1,ITGA7,JAK2,JAK3,KITLG,KLF4,KLRK1,LAG3,LAMB3,LGALS3BP,LYN,LYPD5,LYVE1,MDGA1,MIR503,MPZL2,MTSS1,MUC1,NOD2,NRP1,ONECUT2,PCDH12,PCDHGC3,PDCD1,PDCD1LG2,PDE3B,PLEK,PLXNA2,PML,RIPK2,RSU1,S100A10,S1PR1,SCARF1,SELL,SIGLEC12,SLAMF1,SLAMF7,SOCS1,TBX21,TESC,TGM2,THBS2,TNFAIP6,TNFRSF21,TNFSF13B,TNFSF18,TSPAN32,VCAM1,VCAN,ZC3H12A"
"154"	"GO:0070371"	"ERK1 and ERK2 cascade"	242	31	13.44	251	0.00668	1.2e-05	"AGT,ATF3,BTN2A2,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CD74,CEACAM1,GBP1,GLIPR2,GPR183,ICAM1,IQGAP3,KARS1,KLF4,LYN,MIR503,NECAB2,NLRP12,NOD2,NRP1,PTGER4,RAPGEF2,RIPK2,SCIMP,SLAMF1,TNFAIP8L3,TNFRSF11A"
"155"	"GO:0032609"	"interferon-gamma production"	87	19	4.83	153	0.00685	2.2e-07	"BTN3A1,BTN3A2,CD274,HLA-DPA1,HLA-DPB1,IL12A,IL12RB1,IL12RB2,IL27,ITK,KLRK1,PDCD1LG2,PDE4B,RIPK2,SLAMF6,SLC11A1,TLR7,TLR8,ZC3H12A"
"156"	"GO:0070665"	"positive regulation of leukocyte proliferation"	111	24	6.16	105	0.00716	6.9e-09	"BCL6,CCL5,CD274,CD28,CD38,CD40,CD74,CD80,FLT3LG,GPR183,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-E,IL12A,IL12RB1,IL15,JAK3,KITLG,LYN,PDCD1LG2,RIPK2,TNFSF13B,VCAM1"
"157"	"GO:1901988"	"negative regulation of cell cycle phase transition"	228	30	12.66	245	0.00718	9.4e-06	"ATF5,AURKB,BRCA1,BTN2A2,BUB1B,CDC6,CDK1,CDKN2C,CDT1,CHMP4C,CLSPN,DTL,E2F1,E2F8,FAM107A,GTSE1,KLF4,MAD2L1,MIR503,MUC1,NDC80,ORC1,OVOL1,PML,PSMB10,PSMB8,PSMB9,PSME1,PSME2,TICRR"
"158"	"GO:1900015"	"regulation of cytokine production involved in inflammatory response"	32	6	1.78	652	0.00733	0.00752	"APPL2,GBP5,KARS1,MEFV,NOD2,ZC3H12A"
"159"	"GO:1905521"	"regulation of macrophage migration"	32	6	1.78	653	0.00733	0.00752	"CCL5,CX3CR1,KARS1,P2RX4,SLAMF8,STAP1"
"160"	"GO:0051281"	"positive regulation of release of sequestered calcium ion into cytosol"	32	6	1.78	654	0.00733	0.00752	"CXCL10,CXCL11,CXCL9,F2RL3,SRI,TRDN"
"161"	"GO:0097191"	"extrinsic apoptotic signaling pathway"	200	20	11.1	663	0.00736	0.00781	"AGT,ATF3,BCL2A1,BCL2L11,BRCA1,CYLD,DEPTOR,FAS,G0S2,HGF,ICAM1,IFI27,IL12A,JAK2,KITLG,NRP1,P2RX7,PMAIP1,PML,TNFSF10"
"162"	"GO:0055078"	"sodium ion homeostasis"	23	5	1.28	655	0.00741	0.00759	"AGT,ATP1B2,EDN1,NPR1,SLC12A3"
"163"	"GO:1904467"	"regulation of tumor necrosis factor secretion"	23	5	1.28	656	0.00741	0.00759	"GHRL,IFIH1,LILRA2,LRRK2,ZC3H12A"
"164"	"GO:0002507"	"tolerance induction"	21	7	1.17	315	0.00752	9.2e-05	"ACOD1,CD274,HLA-E,HLA-G,IDO1,LYN,PDCD1"
"165"	"GO:0002830"	"positive regulation of type 2 immune response"	15	4	0.83	664	0.00771	0.00786	"CD74,IDO1,NOD2,RSAD2"
"166"	"GO:0002689"	"negative regulation of leukocyte chemotaxis"	15	4	0.83	665	0.00771	0.00786	"KLRK1,PADI2,SLAMF8,STAP1"
"167"	"GO:0032695"	"negative regulation of interleukin-12 production"	15	4	0.83	666	0.00771	0.00786	"JAK3,MEFV,SLAMF1,TLR8"
"168"	"GO:0006801"	"superoxide metabolic process"	53	8	2.94	668	0.00811	0.00838	"AGT,DHFR,EDN1,GCH1,NCF1,NCF1B,NCF1C,SH3PXD2A"
"169"	"GO:0030890"	"positive regulation of B cell proliferation"	33	6	1.83	672	0.00855	0.00877	"BCL6,CD38,CD40,CD74,GPR183,TNFSF13B"
"170"	"GO:0002220"	"innate immune response activating cell surface receptor signaling pathway"	95	14	5.27	424	0.00863	0.00072	"CLEC10A,CLEC6A,FCN1,ICAM2,KLRK1,LILRA2,LYN,MUC1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,RELB"
"171"	"GO:0072677"	"eosinophil migration"	20	7	1.11	307	0.0087	6.5e-05	"ADAM8,CCL13,CCL15,CCL5,CCL7,CCL8,PTGER4"
"172"	"GO:0050864"	"regulation of B cell activation"	98	15	5.44	374	0.00872	0.00031	"BANK1,BCL6,CD28,CD38,CD40,CD74,CTLA4,CYLD,GPR183,LYN,NOD2,SLAMF8,TBX21,TNFRSF21,TNFSF13B"
"173"	"GO:0042036"	"negative regulation of cytokine biosynthetic process"	24	5	1.33	675	0.00895	0.00915	"GHRL,KLF4,LAG3,NLRP12,NMI"
"174"	"GO:0032611"	"interleukin-1 beta production"	79	19	4.39	122	0.00906	4.2e-08	"AIM2,CARD16,CARD17,CX3CR1,GBP5,GHRL,GSDMD,JAK2,LILRA2,MEFV,NLRP12,NOD2,P2RX7,PML,PYHIN1,RIPK2,SUCNR1,TLR8,ZC3H12A"
"175"	"GO:0002260"	"lymphocyte homeostasis"	54	8	3	679	0.00908	0.00937	"BCL2L11,CD74,JAK3,LYN,P2RX7,PMAIP1,SIT1,TNFSF13B"
"176"	"GO:0032623"	"interleukin-2 production"	54	8	3	680	0.00908	0.00937	"CD28,CD80,GBP1,LAG3,PDE4B,RIPK2,SLC11A1,TBX21"
"177"	"GO:0140014"	"mitotic nuclear division"	249	26	13.82	477	0.00937	0.00144	"ANLN,AURKB,BIRC5,BUB1B,CD28,CDC6,CDCA5,CDT1,CENPK,CHMP4C,DSCC1,EDN1,KIF11,KIF18B,LRP5,MAD2L1,MKI67,MYBL2,NCAPG,NCAPH,NDC80,NUF2,NUSAP1,PKMYT1,PRC1,ZWINT"
