Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
negative regulation of leukocyte chemotaxis (GO:0002689)	2/9	0.03393735982028097	0.4276107337355402	0	0	6.693440428380187	22.64550744191636	STAP1;PADI2
negative regulation of cytokine production involved in inflammatory response (GO:1900016)	2/9	0.03393735982028097	0.4265575053273246	0	0	6.693440428380187	22.64550744191636	ZC3H12A;MEFV
regulation of amyloid precursor protein biosynthetic process (GO:0042984)	2/9	0.03393735982028097	0.42550945248868255	0	0	6.693440428380187	22.64550744191636	NECAB2;SOAT1
sarcoplasmic reticulum calcium ion transport (GO:0070296)	2/9	0.03393735982028097	0.4244665371639554	0	0	6.693440428380187	22.64550744191636	ANK2;TRDN
regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001267)	2/9	0.03393735982028097	0.423428721669667	0	0	6.693440428380187	22.64550744191636	FAS;MMP9
positive regulation of nitric-oxide synthase biosynthetic process (GO:0051770)	2/9	0.03393735982028097	0.42239596868998486	0	0	6.693440428380187	22.64550744191636	NOD2;JAK2
adipose tissue development (GO:0060612)	2/9	0.03393735982028097	0.42136824127224765	0	0	6.693440428380187	22.64550744191636	DGAT2;LRP5
negative regulation of natural killer cell mediated cytotoxicity (GO:0045953)	2/9	0.03393735982028097	0.4203455028225577	0	0	6.693440428380187	22.64550744191636	CEACAM1;HLA-E
indolalkylamine catabolic process (GO:0046218)	2/9	0.03393735982028097	0.41932771710143774	0	0	6.693440428380187	22.64550744191636	IDO2;IDO1
interleukin-1 beta production (GO:0032611)	2/9	0.03393735982028097	0.41831484821955023	0	0	6.693440428380187	22.64550744191636	GBP5;AIM2
positive regulation of leukocyte apoptotic process (GO:2000108)	2/9	0.03393735982028097	0.417306860633479	0	0	6.693440428380187	22.64550744191636	HCAR2;RAPGEF2
response to muramyl dipeptide (GO:0032495)	2/9	0.03393735982028097	0.4163037191415716	0	0	6.693440428380187	22.64550744191636	RIPK2;NOD2
podosome assembly (GO:0071800)	2/9	0.03393735982028097	0.41530538887984125	0	0	6.693440428380187	22.64550744191636	SH3PXD2A;NCF1
mitotic DNA replication checkpoint (GO:0033314)	2/9	0.03393735982028097	0.41431183531792776	0	0	6.693440428380187	22.64550744191636	CLSPN;TICRR
interleukin-23-mediated signaling pathway (GO:0038155)	2/9	0.03393735982028097	0.41332302425511647	0	0	6.693440428380187	22.64550744191636	IL12RB1;JAK2
regulation of sequestering of calcium ion (GO:0051282)	2/9	0.03393735982028097	0.4123389218164138	0	0	6.693440428380187	22.64550744191636	ANK2;TRDN
negative regulation of heterotypic cell-cell adhesion (GO:0034115)	2/9	0.03393735982028097	0.41135949444867886	0	0	6.693440428380187	22.64550744191636	IL1RN;KLF4
regulation of cell-cell adhesion involved in gastrulation (GO:0070587)	2/9	0.03393735982028097	0.41038470891680995	0	0	6.693440428380187	22.64550744191636	IL1RN;KLF4
positive regulation of cytokine production involved in inflammatory response (GO:1900017)	2/9	0.03393735982028097	0.4094145322999853	0	0	6.693440428380187	22.64550744191636	GBP5;NOD2
negative regulation of transcription by competitive promoter binding (GO:0010944)	2/9	0.03393735982028097	0.40844893198795706	0	0	6.693440428380187	22.64550744191636	MUC1;BHLHE41
cyclic nucleotide catabolic process (GO:0009214)	2/9	0.03393735982028097	0.40748787567739714	0	0	6.693440428380187	22.64550744191636	PDE3B;PDE4B
positive regulation of inflammatory response (GO:0050729)	6/73	0.03416586626838093	0.40926858114447867	0	0	2.475656048852946	8.359122451652434	GBP5;IL15;ADAM8;NOD2;AGT;CCL15
regulation of programmed cell death (GO:0043067)	15/268	0.03463735460623072	0.41394477881872455	0	0	1.6858478690882934	5.6692072576613475	CD40;STAT1;NRK;LRRK2;BRCA1;TNFRSF11A;BCL2L11;AIFM2;FAS;PMAIP1;BIRC5;JAK2;JAK3;BCL2L14;TNFRSF21
positive regulation of interleukin-10 production (GO:0032733)	3/22	0.03508448636878398	0.4183087241586557	0	0	4.107338444687842	13.75956830507642	CD274;CD28;NOD2
regulation of bone resorption (GO:0045124)	3/22	0.03508448636878398	0.4173336455475633	0	0	4.107338444687842	13.75956830507642	P2RX7;S1PR1;ADAM8
proteolysis involved in cellular protein catabolic process (GO:0051603)	7/93	0.03508531402009996	0.4163729242896979	0	0	2.2671330483223215	7.594833683236206	CTSO;UBD;PMAIP1;CTSS;PSMB10;PSMB8;PSMB9
positive regulation of protein phosphorylation (GO:0001934)	21/412	0.03516595670938705	0.4163616637772671	0	0	1.5352672827231255	5.139578669232373	NRP1;CD74;CD40;RALB;RIPK2;LRRK2;CD80;HGF;LMTK2;TNFRSF11A;MMP9;AGT;C3;DAB2;BANK1;ENPP2;RAPGEF2;FAS;FAM20A;JAK2;EPHB3
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	5/55	0.03537533873645229	0.41787118882434265	0	0	2.738225629791895	9.150439067567973	AIM2;RIPK2;TNFSF10;PMAIP1;MEFV
fat cell differentiation (GO:0045444)	5/55	0.03537533873645229	0.41690612834206936	0	0	2.738225629791895	9.150439067567973	EGR2;STEAP4;ATF5;KLF4;PSMB8
positive regulation of epithelial cell migration (GO:0010634)	6/74	0.036179860768860934	0.42540513710483263	0	0	2.4422012373819606	8.106282922450138	NRP1;EDN1;ZC3H12A;ENPP2;MMP9;AGT
granulocyte chemotaxis (GO:0071621)	5/56	0.03782403899804713	0.4437151057632977	0	0	2.689328743545611	8.807041808733045	CCL13;CCL8;CCL7;PDE4B;CCL15
cellular defense response (GO:0006968)	5/56	0.03782403899804713	0.4426974105665929	0	0	2.689328743545611	8.807041808733045	LGALS3BP;CX3CR1;ITK;CXCL9;NCF1
cellular response to catecholamine stimulus (GO:0071870)	3/23	0.03938004422294137	0.459854383683455	0	0	3.9287585123101096	12.707554018303044	GNG2;LRRK2;PDE4B
chromosome condensation (GO:0030261)	3/23	0.03938004422294137	0.45880448783029637	0	0	3.9287585123101096	12.707554018303044	TOP2A;CDCA5;NCAPG
positive regulation of ERBB signaling pathway (GO:1901186)	3/23	0.03938004422294137	0.4577593751017536	0	0	3.9287585123101096	12.707554018303044	AGR2;MMP9;AGT
positive regulation of protein oligomerization (GO:0032461)	3/23	0.03938004422294137	0.45671901288561323	0	0	3.9287585123101096	12.707554018303044	AIM2;BCL2L11;PMAIP1
regulation of cell size (GO:0008361)	3/23	0.03938004422294137	0.45568336886546446	0	0	3.9287585123101096	12.707554018303044	EDN1;DEPTOR;PLEK
positive regulation of cell junction assembly (GO:1901890)	3/23	0.03938004422294137	0.45465241101735254	0	0	3.9287585123101096	12.707554018303044	NRP1;AGT;S100A10
regulation of ion homeostasis (GO:2000021)	3/23	0.03938004422294137	0.45362610760647815	0	0	3.9287585123101096	12.707554018303044	CAMK2D;AGT;PML
regulation of type I interferon-mediated signaling pathway (GO:0060338)	4/39	0.039562764619102	0.4547044771425169	0	0	3.0892801977139324	9.977963825967318	ZBP1;STAT1;STAT2;NLRC5
positive regulation of reactive oxygen species metabolic process (GO:2000379)	4/39	0.039562764619102	0.4536826693287135	0	0	3.0892801977139324	9.977963825967318	PID1;ZC3H12A;ACOD1;AGT
double-strand break repair via homologous recombination (GO:0000724)	6/76	0.04043236812005141	0.4626151894991532	0	0	2.3779327837666453	7.628704717121684	RECQL4;GINS2;FEN1;CDC45;XRCC2;BRCA1
regulation of hematopoietic stem cell differentiation (GO:1902036)	6/76	0.04043236812005141	0.4615802561893117	0	0	2.3779327837666453	7.628704717121684	TAL1;PSME1;PSME2;PSMB10;PSMB8;PSMB9
positive regulation of JNK cascade (GO:0046330)	6/76	0.04043236812005141	0.46054994311746056	0	0	2.3779327837666453	7.628704717121684	EDN1;NCF1;GADD45B;TNFRSF11A;NOD2;SLAMF1
positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition (GO:0051437)	6/76	0.04043236812005141	0.45952421941341276	0	0	2.3779327837666453	7.628704717121684	PSME1;CDK1;PSME2;PSMB10;PSMB8;PSMB9
neuron projection regeneration (GO:0031102)	2/10	0.041504017056770356	0.47065555342377585	0	0	6.024096385542169	19.16846421615232	DHFR;RTN4RL1
response to acidic pH (GO:0010447)	2/10	0.041504017056770356	0.46961197126540827	0	0	6.024096385542169	19.16846421615232	PKD1L3;CTSS
regulation of NLRP3 inflammasome complex assembly (GO:1900225)	2/10	0.041504017056770356	0.4685730067272105	0	0	6.024096385542169	19.16846421615232	GBP5;MEFV
tryptophan metabolic process (GO:0006568)	2/10	0.041504017056770356	0.4675386292289164	0	0	6.024096385542169	19.16846421615232	IDO2;IDO1
regulation of granulocyte differentiation (GO:0030852)	2/10	0.041504017056770356	0.46650880845968973	0	0	6.024096385542169	19.16846421615232	CEACAM1;TESC
negative regulation of B cell proliferation (GO:0030889)	2/10	0.041504017056770356	0.46548351437516294	0	0	6.024096385542169	19.16846421615232	CTLA4;TNFRSF21
negative regulation of lipopolysaccharide-mediated signaling pathway (GO:0031665)	2/10	0.041504017056770356	0.46446271719451565	0	0	6.024096385542169	19.16846421615232	CARD16;LILRA2
positive regulation of lipid localization (GO:1905954)	2/10	0.041504017056770356	0.4634463873975911	0	0	6.024096385542169	19.16846421615232	C3;ZC3H12A
T cell homeostasis (GO:0043029)	2/10	0.041504017056770356	0.46243449572205053	0	0	6.024096385542169	19.16846421615232	PMAIP1;JAK3
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824)	2/10	0.041504017056770356	0.46142701316056456	0	0	6.024096385542169	19.16846421615232	SLC11A1;IL12RB1
sequestering of actin monomers (GO:0042989)	2/10	0.041504017056770356	0.4604239109580416	0	0	6.024096385542169	19.16846421615232	SCIN;TMSB10
tryptophan catabolic process (GO:0006569)	2/10	0.041504017056770356	0.4594251606088918	0	0	6.024096385542169	19.16846421615232	IDO2;IDO1
regulation of axon regeneration (GO:0048679)	2/10	0.041504017056770356	0.45843073385432714	0	0	6.024096385542169	19.16846421615232	RTN4RL1;SCARF1
positive regulation of type 2 immune response (GO:0002830)	2/10	0.041504017056770356	0.4574406026796958	0	0	6.024096385542169	19.16846421615232	RSAD2;NOD2
negative regulation of ubiquitin protein ligase activity (GO:1904667)	6/77	0.04267215581393363	0.4693017481002227	0	0	2.347050539821624	7.403087138436484	PSME1;CDK1;PSME2;PSMB10;PSMB8;PSMB9
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	6/77	0.04267215581393363	0.4682924970290394	0	0	2.347050539821624	7.403087138436484	TAL1;PSME1;PSME2;PSMB10;PSMB8;PSMB9
positive regulation of mitotic nuclear division (GO:0045840)	4/40	0.042846943829370536	0.4692016188010254	0	0	3.0120481927710845	9.488316141617565	EDN1;CDCA5;LRP5;CD28
positive regulation of mitotic cell cycle phase transition (GO:1901992)	4/40	0.042846943829370536	0.4681969044138712	0	0	3.0120481927710845	9.488316141617565	CDC45;CDCA5;CDK1;DTL
positive regulation of cytokine biosynthetic process (GO:0042108)	4/40	0.042846943829370536	0.4671964836779441	0	0	3.0120481927710845	9.488316141617565	CD80;CD28;TLR8;IL27
neutrophil migration (GO:1990266)	5/58	0.043025721319610764	0.46814553495516786	0	0	2.596593269630245	8.168771219094218	CCL13;CCL8;CCL7;PDE4B;CCL15
regulation of mitotic cell cycle phase transition (GO:1901990)	11/184	0.043618376839418826	0.47358420640756227	0	0	1.8006809848088003	5.640231147383767	ANLN;PID1;UBD;PSME1;CDK1;E2F1;PSME2;CDC6;PSMB10;PSMB8;PSMB9
positive regulation of immune effector process (GO:0002699)	3/24	0.04392903591507783	0.475944522876098	0	0	3.765060240963855	11.766490087237237	HLA-DMB;DDX60;IL12RB1
negative regulation of protein localization to membrane (GO:1905476)	3/24	0.04392903591507783	0.47493616583610626	0	0	3.765060240963855	11.766490087237237	DAB2;PID1;GBP1
regulation of chromosome organization (GO:0033044)	3/24	0.04392903591507783	0.4739320724622456	0	0	3.765060240963855	11.766490087237237	CDT1;RMI2;MKI67
response to glucocorticoid (GO:0051384)	3/24	0.04392903591507783	0.4729322157692873	0	0	3.765060240963855	11.766490087237237	IL1RN;BCL2L11;SSTR2
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	3/24	0.04392903591507783	0.4719365689992467	0	0	3.765060240963855	11.766490087237237	PSMB10;PSMB8;PSMB9
regulation of transmembrane transport (GO:0034762)	3/24	0.04392903591507783	0.47094510561899616	0	0	3.765060240963855	11.766490087237237	KCNJ10;KCNJ15;KCNJ2
DNA replication initiation (GO:0006270)	3/24	0.04392903591507783	0.4699577993179081	0	0	3.765060240963855	11.766490087237237	CDC45;MCM10;MCM2
negative regulation of interleukin-6 production (GO:0032715)	3/24	0.04392903591507783	0.46897462400552753	0	0	3.765060240963855	11.766490087237237	ZC3H12A;GHRL;SLAMF1
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	3/24	0.04392903591507783	0.4679955538092738	0	0	3.765060240963855	11.766490087237237	CYLD;RIPK2;NOD2
regulation of phosphorylation (GO:0042325)	8/119	0.04481650562589048	0.47645547543524813	0	0	2.024906348081401	6.287696220036874	NRP1;SOCS1;CDKN2C;MCM7;STAT2;NLRC5;STAP1;PML
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	6/78	0.04498837371974658	0.4772882974882886	0	0	2.3169601482854496	7.185707100037956	EPAS1;PSME1;PSME2;PSMB10;PSMB8;PSMB9
positive regulation of protein modification process (GO:0031401)	10/163	0.045677229408729626	0.48359108230860437	0	0	1.847882326853426	5.702851961798672	C3;CD74;DAB2;CD40;RALB;HGF;LRRK2;FAS;FAM20A;MMP9
enzyme linked receptor protein signaling pathway (GO:0007167)	8/120	0.04668812055448636	0.4932701432495733	0	0	2.0080321285140563	6.153143623524249	ITK;NPR1;CD7;IL31RA;STAP1;JAK2;JAK3;MTSS1
negative regulation of mitotic cell cycle phase transition (GO:1901991)	6/79	0.04738149519166931	0.49956150818819933	0	0	2.287631538813482	6.976186190268421	PSME1;PSME2;KLF4;PSMB10;PSMB8;PSMB9
anaphase-promoting complex-dependent catabolic process (GO:0031145)	6/79	0.04738149519166931	0.4985314844599762	0	0	2.287631538813482	6.976186190268421	PSME1;CDK1;PSME2;PSMB10;PSMB8;PSMB9
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	6/79	0.04738149519166931	0.4975056995125277	0	0	2.287631538813482	6.976186190268421	CASP7;IFI27;CASP4;TNFSF10;FAS;JAK2
positive regulation of nucleic acid-templated transcription (GO:1903508)	24/502	0.04804945030935031	0.5034832544735414	0	0	1.4400230403686458	4.371225339994005	CD74;CIITA;CASZ1;EGR2;NCF1;DTX3L;STAT1;TESC;CD80;IL31RA;LRP5;BRCA1;KLF4;AGT;ARNTL2;DAB2;TAL1;IRF1;TBX21;E2F1;IRF7;CD38;MYBL2;ATF5
nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway (GO:0035872)	3/25	0.04872736444485566	0.5095404523813493	0	0	3.614457831325301	10.92113677752162	CYLD;RIPK2;NOD2
potassium ion homeostasis (GO:0055075)	3/25	0.04872736444485566	0.5084984473662545	0	0	3.614457831325301	10.92113677752162	SLC12A3;ATP1B2;KCNJ2
regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314)	3/25	0.04872736444485566	0.507460695432854	0	0	3.614457831325301	10.92113677752162	CAMK2D;SRI;TRDN
positive regulation of nuclear division (GO:0051785)	3/25	0.04872736444485566	0.5064271705949052	0	0	3.614457831325301	10.92113677752162	EDN1;LRP5;CD28
regulation of glucose metabolic process (GO:0010906)	3/25	0.04872736444485566	0.5053978470774358	0	0	3.614457831325301	10.92113677752162	SLC45A3;PDK4;PMAIP1
regulation of apoptotic signaling pathway (GO:2001233)	3/25	0.04872736444485566	0.5043726993146013	0	0	3.614457831325301	10.92113677752162	CYLD;DEPTOR;FAS
negative regulation of insulin receptor signaling pathway (GO:0046627)	3/25	0.04872736444485566	0.5033517019475677	0	0	3.614457831325301	10.92113677752162	PID1;SOCS1;CISH
regulation of nervous system development (GO:0051960)	3/25	0.04872736444485566	0.5023348298224211	0	0	3.614457831325301	10.92113677752162	LRRK2;ASCL2;TYMP
positive regulation of nitric oxide biosynthetic process (GO:0045429)	3/25	0.04872736444485566	0.5013220579881017	0	0	3.614457831325301	10.92113677752162	EDN1;P2RX4;KLF4
positive regulation of nitric oxide metabolic process (GO:1904407)	3/25	0.04872736444485566	0.500313361694363	0	0	3.614457831325301	10.92113677752162	EDN1;P2RX4;KLF4
cellular response to metal ion (GO:0071248)	7/100	0.04882801816705377	0.5003401138684245	0	0	2.108433734939759	6.366312324333457	CAMK2D;NCF1;SYT1;LRRK2;ATP13A2;B2M;MMP9
regulation of lipid metabolic process (GO:0019216)	7/100	0.04882801816705377	0.4993374282694897	0	0	2.108433734939759	6.366312324333457	LACTB;ALAS1;ACSL1;CYP1A1;TNFAIP8L3;TNFRSF21;AGT
negative regulation of ryanodine-sensitive calcium-release channel activity (GO:0060315)	2/11	0.049632992830807125	0.5065543248312175	0	0	5.47645125958379	16.44632797559499	SRI;TRDN
pyrimidine nucleoside catabolic process (GO:0046135)	2/11	0.049632992830807125	0.5055432383545085	0	0	5.47645125958379	16.44632797559499	DPYS;TYMP
negative regulation of fatty acid biosynthetic process (GO:0045717)	2/11	0.049632992830807125	0.5045361801107744	0	0	5.47645125958379	16.44632797559499	CEACAM1;BRCA1
negative regulation of peptide secretion (GO:0002792)	2/11	0.049632992830807125	0.5035331260747689	0	0	5.47645125958379	16.44632797559499	CD74;RSAD2
lymphocyte mediated immunity (GO:0002449)	2/11	0.049632992830807125	0.5025340524119222	0	0	5.47645125958379	16.44632797559499	BTN3A3;BTN3A2
response to axon injury (GO:0048678)	2/11	0.049632992830807125	0.501538935476453	0	0	5.47645125958379	16.44632797559499	DHFR;RTN4RL1
positive regulation of chromosome segregation (GO:0051984)	2/11	0.049632992830807125	0.5005477518095035	0	0	5.47645125958379	16.44632797559499	FEN1;CDC6
regulation of chromatin binding (GO:0035561)	2/11	0.049632992830807125	0.49956047813729537	0	0	5.47645125958379	16.44632797559499	CDT1;DTX3L
macrophage differentiation (GO:0030225)	2/11	0.049632992830807125	0.49857709136930856	0	0	5.47645125958379	16.44632797559499	IL31RA;MMP9
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166)	2/11	0.049632992830807125	0.49759756859648085	0	0	5.47645125958379	16.44632797559499	CD74;MUC1
negative regulation of T cell differentiation (GO:0045581)	2/11	0.049632992830807125	0.49662188708942895	0	0	5.47645125958379	16.44632797559499	IRF1;CTLA4
positive regulation of glucose metabolic process (GO:0010907)	2/11	0.049632992830807125	0.4956500242966903	0	0	5.47645125958379	16.44632797559499	SLC45A3;PMAIP1
negative regulation of release of sequestered calcium ion into cytosol (GO:0051280)	2/11	0.049632992830807125	0.49468195784298585	0	0	5.47645125958379	16.44632797559499	SRI;TRDN
positive regulation of interferon-gamma biosynthetic process (GO:0045078)	2/11	0.049632992830807125	0.49371766552750246	0	0	5.47645125958379	16.44632797559499	TLR8;IL27
hepatocyte growth factor receptor signaling pathway (GO:0048012)	2/11	0.049632992830807125	0.492757125322196	0	0	5.47645125958379	16.44632797559499	NRP1;HGF
positive regulation of leukocyte chemotaxis (GO:0002690)	5/61	0.05159612504928758	0.5112524779155622	0	0	2.468891961287774	7.318557933188083	CXCL10;CXCL9;CXCL11;CCL7;VEGFC
regulation of tumor necrosis factor production (GO:0032680)	5/61	0.05159612504928758	0.5102616785397568	0	0	2.468891961287774	7.318557933188083	ZC3H12A;NOD2;JAK2;HLA-E;SLAMF1
protein catabolic process (GO:0030163)	6/81	0.05240001166322883	0.5172093994534945	0	0	2.2311468094600624	6.579313844432089	CEACAM1;PMAIP1;PSMB10;PGA5;PSMB8;PSMB9
protein homooligomerization (GO:0051260)	11/190	0.052714624572896565	0.5193102880221837	0	0	1.7438173747622068	5.1318145075871895	GSDMD;COLEC12;GBP5;RNF213;SYT1;GCH1;DPYS;TK1;GBP1;KCNJ2;ASIC1
regulation of p38MAPK cascade (GO:1900744)	3/26	0.05377034944157754	0.528689967630771	0	0	3.4754402224281744	10.158826770254338	NCF1;GADD45B;ZC3H12A
positive regulation of cAMP metabolic process (GO:0030816)	3/26	0.05377034944157754	0.5276732561545581	0	0	3.4754402224281744	10.158826770254338	CXCL10;CXCL9;CXCL11
negative regulation of cellular response to insulin stimulus (GO:1900077)	3/26	0.05377034944157754	0.5266604476014783	0	0	3.4754402224281744	10.158826770254338	PID1;SOCS1;CISH
T cell activation involved in immune response (GO:0002286)	3/26	0.05377034944157754	0.525651519540939	0	0	3.4754402224281744	10.158826770254338	TNFSF18;SLC11A1;ICAM1
negative regulation of cellular process (GO:0048523)	25/534	0.05414147736226272	0.528267607991638	0	0	1.4101349217093093	4.11217158994694	PIWIL4;IFITM1;NPR1;PDE3B;IFIT3;SCIN;ADORA3;AGR2;PLXNA2;TMEM109;JAK2;APOBEC3D;CDKN2C;BTN2A2;APOBEC3G;TESC;CDC6;KLF4;SSTR2;PML;IRF1;RAPGEF2;ATF5;TNFRSF21;APOBEC3A
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	5/62	0.05465875495833358	0.5322969972373593	0	0	2.4290711232024873	7.06044956439921	PSME1;PSME2;PSMB10;PSMB8;PSMB9
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	5/62	0.05465875495833358	0.5312830981950024	0	0	2.4290711232024873	7.06044956439921	MUC1;E2F1;CDK1;PML;E2F8
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	6/82	0.05502602267493553	0.5338361097152016	0	0	2.2039377020276225	6.391307080738916	MUC1;E2F1;CDK1;BRCA1;PML;E2F8
positive regulation of ubiquitin protein ligase activity (GO:1904668)	6/82	0.05502602267493553	0.5328231379700114	0	0	2.2039377020276225	6.391307080738916	PSME1;CDK1;PSME2;PSMB10;PSMB8;PSMB9
positive regulation of cell cycle arrest (GO:0071158)	6/82	0.05502602267493553	0.5318140032390076	0	0	2.2039377020276225	6.391307080738916	MUC1;E2F1;CDK1;BRCA1;PML;E2F8
regulation of cell cycle (GO:0051726)	12/215	0.055672931833954026	0.5370490947989931	0	0	1.6811431773606051	4.855580633764961	CYLD;GADD45B;NRK;IRF1;PCLAF;PIM1;CDK1;BIRC5;MYBL2;PKMYT1;DTL;CDC25A
positive regulation of gene expression (GO:0010628)	34/771	0.05710734919429976	0.5498467979971918	0	0	1.328270279561827	3.8026019934926127	CIITA;CASZ1;PID1;NCF1;CD80;LRP5;BRCA1;ARNTL2;LAMP3;TBX21;ZC3H12A;AGR2;E2F1;CD38;STAP1;MYBL2;CD74;EGR2;DTX3L;STAT1;TESC;SLC11A1;IL31RA;SAMD4A;ANK2;KLF4;AGT;P2RX7;DAB2;TAL1;IRF1;CD28;IRF7;ATF5
sprouting angiogenesis (GO:0002040)	4/44	0.05746787798496413	0.5522760477538079	0	0	2.738225629791895	7.821821278801038	NRP1;CDH5;RNF213;E2F8
positive regulation of macroautophagy (GO:0016239)	4/44	0.05746787798496413	0.5512379348820902	0	0	2.738225629791895	7.821821278801038	RALB;SESN3;CALCOCO2;OPTN
iron ion homeostasis (GO:0055072)	5/63	0.05782439242844761	0.5536170254453436	0	0	2.3905144387072097	6.813789868984999	SLC25A28;SLC11A1;ATP13A2;B2M;ABCG2
signal transduction involved in mitotic G1 DNA damage checkpoint (GO:0072431)	5/63	0.05782439242844761	0.552580289442637	0	0	2.3905144387072097	6.813789868984999	MUC1;E2F1;CDK1;PML;E2F8
positive regulation of vasculature development (GO:1904018)	7/104	0.05802509497937121	0.5534617937938903	0	0	2.0273401297497684	5.771593440011615	CDH5;CD40;CEACAM1;ZC3H12A;RAPGEF2;VEGFC;BRCA1
regulation of vasculogenesis (GO:2001212)	2/12	0.058278729819189905	0.55484395199128	0	0	5.02008032128514	14.26966913828899	CEACAM1;RAPGEF2
signal transduction involved in G2 DNA damage checkpoint (GO:0072425)	2/12	0.058278729819189905	0.5538107230304025	0	0	5.02008032128514	14.26966913828899	BRCA1;DTL
positive regulation of interleukin-1 production (GO:0032732)	2/12	0.058278729819189905	0.5527813350693793	0	0	5.02008032128514	14.26966913828899	AIM2;NOD2
regulation of oligodendrocyte differentiation (GO:0048713)	2/12	0.058278729819189905	0.551755766729733	0	0	5.02008032128514	14.26966913828899	SLC45A3;TNFRSF21
regulation of DNA-dependent DNA replication (GO:0090329)	2/12	0.058278729819189905	0.5507339967913446	0	0	5.02008032128514	14.26966913828899	CDT1;TICRR
regulation of viral life cycle (GO:1903900)	2/12	0.058278729819189905	0.549716004190991	0	0	5.02008032128514	14.26966913828899	LAMP3;TRIM31
regulation of IRE1-mediated unfolded protein response (GO:1903894)	2/12	0.058278729819189905	0.5487017680208969	0	0	5.02008032128514	14.26966913828899	BCL2L11;AGR2
retinol metabolic process (GO:0042572)	2/12	0.058278729819189905	0.547691267527304	0	0	5.02008032128514	14.26966913828899	DHRS9;DHRS3
iron ion transport (GO:0006826)	2/12	0.058278729819189905	0.5466844821090553	0	0	5.02008032128514	14.26966913828899	SLC25A28;SLC11A1
pyrimidine nucleoside salvage (GO:0043097)	2/12	0.058278729819189905	0.5456813913161946	0	0	5.02008032128514	14.26966913828899	TK1;TYMP
mitochondrial outer membrane permeabilization (GO:0097345)	2/12	0.058278729819189905	0.5446819748485826	0	0	5.02008032128514	14.26966913828899	BCL2L11;PMAIP1
regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165)	2/12	0.058278729819189905	0.5436862125545266	0	0	5.02008032128514	14.26966913828899	CD74;MUC1
protein insertion into membrane (GO:0051205)	2/12	0.058278729819189905	0.5426940844294271	0	0	5.02008032128514	14.26966913828899	RTP4;REEP1
cellular response to arsenic-containing substance (GO:0071243)	2/12	0.058278729819189905	0.5417055706144374	0	0	5.02008032128514	14.26966913828899	ZC3H12A;ATF3
nucleoside catabolic process (GO:0009164)	2/12	0.058278729819189905	0.5407206513951384	0	0	5.02008032128514	14.26966913828899	DPYS;TYMP
regulation of interleukin-2 biosynthetic process (GO:0045076)	2/12	0.058278729819189905	0.5397393072002289	0	0	5.02008032128514	14.26966913828899	CD80;CD28
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	2/12	0.058278729819189905	0.5387615186002285	0	0	5.02008032128514	14.26966913828899	ANK2;ATP1B2
regulation of interleukin-8 biosynthetic process (GO:0045414)	2/12	0.058278729819189905	0.5377872663061954	0	0	5.02008032128514	14.26966913828899	TLR8;KLF4
cellular response to fluid shear stress (GO:0071498)	2/12	0.058278729819189905	0.5368165311684586	0	0	5.02008032128514	14.26966913828899	KLF4;MTSS1
positive regulation of peptidase activity (GO:0010952)	2/12	0.058278729819189905	0.5358492941753623	0	0	5.02008032128514	14.26966913828899	PSME1;PSME2
response to interleukin-6 (GO:0070741)	2/12	0.058278729819189905	0.5348855364520253	0	0	5.02008032128514	14.26966913828899	SBNO2;PID1
positive regulation of DNA-dependent DNA replication (GO:2000105)	2/12	0.058278729819189905	0.5339252392591133	0	0	5.02008032128514	14.26966913828899	CDT1;E2F8
positive regulation of endoplasmic reticulum unfolded protein response (GO:1900103)	2/12	0.058278729819189905	0.5329683839916238	0	0	5.02008032128514	14.26966913828899	BCL2L11;AGR2
pyrimidine-containing compound salvage (GO:0008655)	2/12	0.058278729819189905	0.5320149521776854	0	0	5.02008032128514	14.26966913828899	TK1;TYMP
positive regulation of mRNA metabolic process (GO:1903313)	2/12	0.058278729819189905	0.531064925477368	0	0	5.02008032128514	14.26966913828899	ZC3H12A;GTPBP1
regulation of sister chromatid cohesion (GO:0007063)	2/12	0.058278729819189905	0.5301182856815082	0	0	5.02008032128514	14.26966913828899	FEN1;CDCA5
